C:\Schneider\Soft\py\opc\venv\Scripts\python.exe C:/Schneider/Soft/py/opc/main.py
['Saturn.OPC.LanMon']
None
print(name, value, quality, time)
200.1.1.10 238.4496307373047 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.11 239.9643096923828 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.12 237.88595581054688 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.13 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.14 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.15 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.16 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.17 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.18 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.19 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.20 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.21 50.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.22 1456.488 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.23 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.24 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.25 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.26 1019.48075 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.27 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.28 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.29 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.30 41.70075390625 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.31 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.32 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.33 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.34 395.30653125 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.35 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.36 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.37 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.38 163.915015625 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.39 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.40 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.41 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.1.42 44729.55873842593 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.1 0.030240001678466796 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.2 0.0029700000286102296 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.3 0.008640000343322754 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.4 0.018630001068115236 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.5 -0.0013500000238418578 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.6 -0.0013500000238418578 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.7 -0.00153000009059906 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.8 0.00153000009059906 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.9 238.66680399576822 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.10 237.8410186767578 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.11 240.24012756347656 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.12 237.9192657470703 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.13 0.04357324323306481 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.14 0.015329391695559025 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.15 0.036938443779945374 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.16 0.07845189422369003 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.17 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.18 0.910366415977478 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.19 0.9846801161766052 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.20 0.9966446161270142 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.21 50.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.22 363.20228125 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.23 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.24 74.3272578125 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.25 6.11575048828125 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.26 219.2355 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.27 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.28 47.40175390625 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.29 3.695500244140625 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.30 80.4355 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.31 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.32 9.6182509765625 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.33 1.7842501220703124 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.34 63.53125390625 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.35 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.36 17.30725 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.37 0.6360000610351563 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.38 52.39650390625 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.39 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.40 7.16100048828125 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.41 1.2335 Good 2022-06-17 10:26:41.861000+00:00
200.1.22.42 44729.55908564815 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.1 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.2 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.3 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.4 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.5 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.6 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.7 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.8 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.9 238.90262858072916 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.10 238.55892944335938 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.11 239.94674682617188 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.12 238.20220947265625 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.13 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.14 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.15 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.16 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.17 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.18 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.19 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.20 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.21 50.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.22 907.4395 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.23 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.24 332.56553125 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.25 40.283 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.26 572.7873125 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.27 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.28 227.31625 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.29 22.702501953125 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.30 148.341 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.31 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.32 16.74475 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.33 14.0972509765625 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.34 186.311265625 Good 2022-06-17 10:26:41.861000+00:00
200.1.21.35 0.0 Good 2022-06-17 10:26:41.861000+00:00
